Sample Name,Likelihood,Label
RDvSMpEssentialLBxd250509iN4-06A_PC2504014T1_20ng,-45.59254286,0
RDvSMpEssentialLBxd250509iN4-06A_PC2504014T1_40ng,-28.95263799,0
RDvSMpEssentialLBxd250509iN4-06B_PC2504014T15_40ng,-23.70310699,0
RDvSMpEssentialLBxd250509iN4-06C_PC2504014T30_40ng,-27.88982328,0
RDvSMpEssentialLBxd250509iN4-06D_PC2504015T1_20ng,-114.0476528,0
RDvSMpEssentialLBxd250509iN4-06E_PC2504015T1_40ng,-110.2029116,0
RDvSMpEssentialLBxd250509iN4-06F_PC2504015T15_40ng,-106.8724478,0
RDvSMpEssentialLBxd250509iN4-06G_PC2504015T30_40ng,-101.0936212,0
RDvSMpEssentialLBxd250509iN4-06H_PB0001SMT1_40ng,-263.0237529,1
RDvSMpEssentialLBxd250509iN4-07A_PB0001T2T1_40ng,-357.0958523,1
RDvSMpEssentialLBxd250509iN4-07B_PB0001SNT1_40ng,-266.0178765,1
RDvSMpEssentialLBxd250509iN4-07C_PB0001SQT1_40ng,-264.5561371,1
RDvSMpEssentialLBxd250509iN4-07D_PB0001SKT1_40ng,-350.4514262,1
RDvSMpEssentialLBxd250509iN4-07E_PB0001SFT1_40ng,-315.7647756,1
RDvSMpEssentialLBxd250509iN4-07G_PB0001T5T1_40ng,-255.2136654,1
RDvSMpEssentialLBxd250509iN4-07G_PB000225T1_40ng,-187.9226812,1
RDvSMpEssentialLBxd250509iN4-07H_PB000224T1_20ng,-207.9696681,1
RDvSMpEssentialLBxd250509iN4-08A_PB0001T3T1_40ng,-341.5129225,1
RDvSMpEssentialLBxd250509iN4-08B_PC2504002T15_40ng,-64.03203689,0
RDvSMpEssentialLBxd250509iN4-08C_PC2504002T30_40ng,-83.19283904,0
RDvSMpEssentialLBxd250509iN4-08D_PC2504003T15_40ng,-37.9489176,0
RDvSMpEssentialLBxd250509iN4-08E_PC2504003T30_40ng,-48.2335613,0
RDvSMpEssentialLBxd250509iN4-08F_PC2504004T15_40ng,-70.14199405,0
RDvSMpEssentialLBxd250509iN4-08G_PC2504004T30_40ng,-46.6342677,0
RDvSMpEssentialLBxd250509iN4-08H_PC2504005T15_40ng,-115.1389336,0
RDvSMpEssentialLBxd250509iN4-09A_PC2504005T30_40ng,-92.5454416,0
RDvSMpEssentialLBxd250509iN4-09B_PC2504006T15_40ng,-99.58526331,0
RDvSMpEssentialLBxd250509iN4-09C_PC2504006T30_40ng,-138.6893412,0
RDvSMpEssentialLBxd250509iN4-09E_PC2504007T15_40ng,-6.52327877,0
RDvSMpEssentialLBxd250509iN4-09E_PC2504007T30_40ng,21.74266995,0
RDvSMpEssentialLBxd250509iN4-09F_PC2504008T15_40ng,-87.98327303,0
RDvSMpEssentialLBxd250509iN4-09G_PC2504008T30_40ng,-63.41012292,0
